DEP,F0-2,F3-5,F6-10,F11-17,F18-24,F25-39,F40-54,F55-64,F65-79,F80+,F,H0-2,H3-5,H6-10,H11-17,H18-24,H25-39,H40-54,H55-64,H65-79,H80+,H,0-2,3-5,6-10,11-17,18-24,25-39,40-54,55-64,65-79,80+,TOT
1,10984,12279,22225,30542,20162,61129,69006,41295,44419,21263,322320,11933,13055,23334,32229,22480,60067,68757,39876,40380,12414,312592,22917,25334,45559,62771,42642,121196,137763,81171,84799,33677,634912
10,4806,5239,9747,13467,11337,26973,29508,20355,25033,13456,155115,5061,5505,10297,14318,13363,26140,28776,19199,21668,7225,146491,9867,10744,20044,27785,24700,53113,58284,39554,46701,20681,301606
11,4677,5462,10371,15002,10837,28677,37152,27601,36907,18337,190346,5104,5678,10781,15892,11723,27266,35045,25125,32624,10983,175117,9781,11140,21152,30894,22560,55943,72197,52726,69531,29320,365463
12,3405,3701,7268,10618,6996,19948,26534,20250,26419,16352,138086,3496,3994,7489,11397,9262,20852,27087,19983,24483,10002,134549,6901,7695,14757,22015,16258,40800,53621,40233,50902,26354,272635
13,48449,51076,84462,116668,128623,282974,290773,185951,223385,116037,1479949,50558,52803,89470,121741,126522,260363,269793,167065,185828,65854,1339439,99007,103879,173932,238409,255145,543337,560566,353016,409213,181891,2819388
14,9807,10758,20228,28715,31266,59012,66209,47571,58597,30033,352389,10210,11334,21271,31227,31562,57260,64322,43494,49164,15428,325062,20017,22092,41499,59942,62828,116272,130531,91065,107761,45461,677451
15,1629,1807,3456,5389,3638,10088,13845,10912,14478,8623,72236,1642,1908,3500,5469,4264,10268,14316,11219,13059,4871,68874,3271,3715,6956,10858,7902,20356,28161,22131,27537,13494,141110
16,4408,5129,9293,13502,10490,26943,34536,26503,32376,18114,176886,4540,5218,9807,14650,11929,27101,33424,24721,28470,10583,165903,8948,10347,19100,28152,22419,54044,67960,51224,60846,28697,342789
17,7673,8590,16671,24961,19194,48270,63517,49439,69091,34304,334037,7777,9043,17477,26429,22481,46458,60397,43793,59932,20222,306232,15450,17633,34148,51390,41675,94728,123914,93232,129023,54526,640269
18,4094,4525,7992,11761,8694,22875,29085,22130,28535,15615,151212,4043,4561,8379,12355,10183,22932,28252,20887,25173,8890,141612,8137,9086,16371,24116,18877,45807,57337,43017,53708,24505,292824
19,2805,3035,5880,8911,6554,17119,22809,17890,23587,14277,120062,2918,3322,6263,9453,8528,17475,22891,16930,20679,7891,113432,5723,6357,12143,18364,15082,34594,45700,34820,44266,22168,233494
2,8184,9345,17085,24116,17814,44931,51075,36523,41113,20938,262940,8466,9710,17855,25375,19517,44622,50651,34819,36330,10978,249857,16650,19055,34940,49491,37331,89553,101726,71342,77443,31916,512797
21,7687,8246,14349,21028,27279,46695,51483,35370,42158,22529,269137,7742,8600,15062,22339,26152,47003,49783,32836,36463,12403,250641,15429,16846,29411,43367,53431,93698,101266,68206,78621,34932,519778
22,8008,9009,17285,26086,16411,43932,57628,43581,58224,31898,304054,8198,9270,17822,27306,19314,43282,57056,41671,50564,17056,283341,16206,18279,35107,53392,35725,87214,114684,85252,108788,48954,587395
23,1236,1349,2745,4040,2664,7484,10763,9523,12036,7806,58410,1208,1448,2726,4309,3349,7658,11004,9211,11267,4206,55178,2444,2797,5471,8349,6013,15142,21767,18734,23303,12012,113588
24,4486,5247,9854,15223,10209,28416,40086,32789,43737,23860,209421,4904,5413,10439,16067,11779,28040,38057,31060,39098,14056,194009,9390,10660,20293,31290,21988,56456,78143,63849,82835,37916,403430
25,8682,9612,16952,23395,23523,49790,51770,34078,39917,20614,269651,9049,10038,17635,24901,24638,49932,51979,31560,35191,11957,257831,17731,19650,34587,48296,48161,99722,103749,65638,75108,32571,527482
26,8036,8594,16066,22893,15401,44945,51634,34861,43074,21225,258693,8206,9473,16766,23870,17795,42954,49548,32487,37503,12385,242781,16242,18067,32832,46763,33196,87899,101182,67348,80577,33610,501474
27,9778,11065,20262,27843,18137,52953,60833,40407,44827,20646,296973,9916,11192,20750,29781,20287,50370,60153,37930,39384,11373,281220,19694,22257,41012,57624,38424,103323,120986,78337,84211,32019,578193
28,7005,7786,14103,20040,12680,37166,43301,28696,32833,16882,213487,7387,8021,14629,21189,14223,35938,42968,27281,29326,9999,203574,14392,15807,28732,41229,26903,73104,86269,55977,62159,26881,417061
